Population,Median Age,Household Income,Per Capita Income,Masters holders,Median gross rent,Poverty Rate,Unemployment rate,pop_arc/eng,house_age,Population Density
2052.0,48.4,39314.0,20782.0,55.0,471.0,5.604288499025341,3.801169590643275,0,33,26.411985790042735
1411.0,41.5,49141.0,21622.0,39.0,705.0,16.158752657689586,3.7562012756909993,7,48,29.598086927336805
29489.0,44.2,116741.0,50410.0,3755.0,1345.0,2.2618603547085354,2.6654006578724267,244,51,1113.0444628972598
11279.0,40.4,44125.0,22207.0,574.0,542.0,21.393740579838642,3.803528681620712,25,43,42.562906609911096
4095.0,40.5,54375.0,27173.0,163.0,781.0,8.058608058608057,4.590964590964591,16,41,92.69109758029833
22486.0,45.1,59882.0,31923.0,980.0,784.0,7.160010673307836,2.8106377301432004,215,54,1197.0188980569603
4268.0,40.9,32750.0,14353.0,78.0,710.0,16.002811621368323,2.8584817244611065,3,29,59.39905083990924
6498.0,56.9,39630.0,24791.0,264.0,618.0,13.065558633425667,3.6626654355186212,25,26,48.05679843212661
16736.0,48.0,111176.0,73362.0,2427.0,1299.0,2.41395793499044,1.8104684512428293,272,52,550.399579044299
1816.0,51.2,32035.0,19864.0,54.0,618.0,21.09030837004405,1.8171806167400881,52,38,18.205696297707245
14355.0,37.2,54188.0,25538.0,357.0,711.0,12.149076976663187,2.1664925113200977,108,27,163.26228874280645
9097.0,38.6,70680.0,51963.0,1419.0,903.0,7.321094866439487,2.7811366384522365,106,79,3861.2054329371817
19622.0,30.6,28559.0,13866.0,282.0,652.0,37.972683722352464,8.551625726225666,25,79,4350.776053215078
1524.0,48.0,61875.0,32649.0,41.0,591.0,5.5118110236220454,1.3779527559055118,9,43,73.96622015142691
749.0,44.9,44097.0,22724.0,43.0,525.0,6.275033377837117,0.5340453938584779,0,43,11.334745762711865
6593.0,39.1,50489.0,21135.0,47.0,1135.0,22.554224177157593,3.685727286516002,0,17,55.625395486184345
27144.0,44.7,76457.0,71444.0,3011.0,887.0,7.8617742410845874,1.760978485116416,194,44,3746.0667954733644
3293.0,44.8,47083.0,24884.0,101.0,710.0,11.843303978135438,1.9131491041603401,19,42,67.49610559973765
11484.0,29.4,62634.0,23703.0,318.0,827.0,7.427725531173808,0.9056078021595264,147,34,187.89881867862167
8346.0,41.3,68723.0,27650.0,158.0,1008.0,7.704289479990416,3.2350826743350107,32,23,373.8744792366617
12819.0,40.6,53590.0,24013.0,361.0,889.0,10.656057414774944,3.9940713004134487,120,29,260.0941443817717
54032.0,41.5,125096.0,61502.0,6581.0,1376.0,3.7107639917086166,1.3954693514954102,451,26,981.4364078904348
29220.0,42.6,114719.0,42730.0,2381.0,1622.0,2.9568788501026693,2.6557152635181382,443,30,343.50202786104745
38705.0,34.6,34044.0,17120.0,746.0,752.0,27.960211858932954,3.4750032295569047,147,67,5204.383487965577
21216.0,40.4,53091.0,25387.0,647.0,942.0,9.926470588235292,3.2758295625942684,158,27,762.9459148446489
25103.0,35.7,37873.0,23329.0,1067.0,1079.0,27.93689997211489,5.628809305660679,130,46,2779.647879526077
22026.0,52.9,62286.0,35143.0,1712.0,1195.0,7.1370198855897575,2.8103150821756104,68,26,218.78755972306377
39460.0,28.6,43666.0,25648.0,3137.0,789.0,26.023821591485053,4.475418144956919,347,45,980.8356739827495
724.0,48.4,40000.0,31699.0,24.0,561.0,11.878453038674033,3.591160220994475,2,60,1.3774838469090327
10601.0,41.3,46345.0,23241.0,554.0,653.0,12.064899537779455,4.009055749457598,41,75,132.59537210756721
11339.0,40.2,27948.0,17251.0,165.0,593.0,28.591586559661344,9.551106799541406,109,45,637.3447248608848
21929.0,30.2,24751.0,14180.0,182.0,773.0,43.14378220621096,8.130785717542981,44,66,4649.9151823579305
5456.0,48.9,92981.0,40835.0,397.0,1142.0,2.932551319648093,2.4926686217008798,99,38,252.97908842212638
10653.0,30.2,51358.0,21886.0,459.0,647.0,14.418473669388904,1.7459870459025626,14,27,107.05134002592625
529.0,32.5,42791.0,17645.0,7.0,708.0,24.574669187145556,2.457466918714556,0,50,36.372387238723874
22974.0,43.0,39214.0,20810.0,471.0,687.0,21.802907634717503,3.7607730477931565,106,27,58.001237076963854
12621.0,44.5,41026.0,23420.0,601.0,616.0,18.722763647888442,3.4783297678472387,91,51,104.48107154979014
30918.0,37.5,42942.0,22515.0,910.0,827.0,15.486124587618866,4.864480238049033,51,48,613.7933772730883
1928.0,50.5,61583.0,29995.0,60.0,686.0,9.854771784232367,1.4522821576763485,6,40,26.806445782294954
4908.0,41.0,59318.0,27913.0,263.0,752.0,10.839445802770989,3.0154849225753866,59,38,35.29970223967549
9093.0,44.5,121319.0,46387.0,797.0,1730.0,2.5844055867150555,2.771362586605081,97,25,1119.1384615384616
76478.0,30.7,39294.0,16651.0,1134.0,954.0,27.48110567744972,6.180862470252882,220,38,6478.9901728227715
22906.0,35.9,64055.0,32122.0,1332.0,1356.0,9.512791408364619,3.3877586658517416,519,32,4793.052939945595
1971.0,41.9,45481.0,24287.0,45.0,678.0,9.487569761542364,3.65296803652968,2,55,61.688210071672245
736.0,30.4,28906.0,13329.0,0.0,551.0,27.85326086956522,2.4456521739130435,0,41,614.3572621035058
