ZipCode,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
20019,District of Columbia,295200,307100,302200,286400,274600,283400,280700,3.06E+05,304500,307800,309100,313200
20147,Virginia,441500,454400,465500,449800,450700,4.45E+05,445500,441400,445400,441900,438800,439900
91710,California,475500,499400,498500,4.86E+05,4.71E+05,463700,472900,481600,497600,501400,488500,4.72E+05
90025,California,807400,909600,947100,989400,891700,852400,843300,872600,887100,935100,931600,9.34E+05
44077,Ohio,138200,130900,143200,1.35E+05,143800,144100,148200,142500,143700,142200,138500,127500
10021,New York,1130500,1254600,1052800,1252200,1245900,1.24E+06,1184200,1201300,1238100,1055500,924700,1141500
94544,California,595300,605200,6.27E+05,643300,618600,620300,623300,634700,642300,633800,,
60616,Illinois,284100,287400,284200,275400,284200,285400,284500,289800,314600,310900,306800,2.85E+05
30004,Georgia,363900,400900,386900,389300,355900,362200,335700,345700,327600,3.57E+05,358300,
29730,South Carolina,140800,145300,143300,139700,1.46E+05,157200,158400,152900,145100,147900,158400,160700
43228,Ohio,143100,151400,137800,123200,118800,118100,122100,124200,134100,139400,140100,157100
37128,Tennessee,214300,216700,216800,234300,231800,2.39E+05,243300,2.54E+05,249800,241600,234100,
19124,Pennsylvania,84600,81100,78400,68500,76600,79800,85400,81600,86600,8.20E+04,85100,82400
35242,Alabama,356500,355300,361900,332200,330600,328100,313300,315800,282600,287700,293800,340100
30127,Georgia,187100,187800,186600,190800,194500,203500,203900,204300,198500,198700,2.12E+05,
95051,California,1383700,1485500,1680100,1641100,1503600,1289300,1336500,1366800,1.32E+06,1270700,1274500,1324800
93727,California,2.57E+05,265500,264300,268900,270300,273600,2.77E+05,279500,271300,264800,256800,271800
29464,South Carolina,446300,4.72E+05,444500,455400,431300,447300,4.45E+05,429400,4.21E+05,438200,439400,
75150,Texas,170200,166400,172700,172100,174600,169600,169400,1.71E+05,1.69E+05,1.65E+05,176300,
27284,North Carolina,164700,168800,170300,1.71E+05,167100,162400,166600,1.66E+05,171200,170800,177700,178600
91335,California,520400,5.15E+05,503900,502600,520900,510300,518900,517500,539800,545700,555400,559500
32225,Florida,198500,206300,2.20E+05,218500,217500,218600,224700,233800,230900,222900,2.20E+05,215700
43068,Ohio,168400,1.63E+05,152400,160500,165100,1.70E+05,163900,164700,169300,175600,1.79E+05,175500
