Zipcode,Population,Median Age,Household Income,median_home_value,Per Capita Income,Masters holders,Bachelor holders,Median gross rent,Poverty Count,Poverty Rate,Unemployment,Unemployment rate,pop_arc/eng,pop_stem,pop_tech,pop_biz,commute time car,house_age
01062,10867.0,43.8,73913.0,314300.0,39024.0,1504.0,1950.0,879.0,1445.0,13.297138124597405,444.0,4.085764240360725,164,416,164,258,,56
01063,563.0,20.3,-666666666.0,-666666666.0,3134.0,0.0,0.0,-666666666.0,0.0,0.0,27.0,4.7957371225577266,9,20,5,0,,666668684
01066,12.0,-666666666.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0,0.0,0.0,0.0,0.0,0,0,0,0,-666666666.0,666668684
01068,1825.0,45.0,85052.0,271600.0,34288.0,156.0,280.0,1175.0,62.0,3.3972602739726026,53.0,2.904109589041096,25,60,22,17,,37
01069,8753.0,44.0,57994.0,189600.0,30199.0,594.0,1182.0,669.0,591.0,6.751970752884725,420.0,4.798354849765794,41,235,103,207,,55
01070,562.0,52.7,55208.0,239300.0,30773.0,65.0,103.0,633.0,60.0,10.676156583629894,16.0,2.8469750889679717,10,20,4,18,,45
01071,1271.0,47.9,70938.0,225500.0,34924.0,84.0,207.0,882.0,17.0,1.3375295043273014,35.0,2.753737214791503,8,24,16,42,17835.0,52
01072,1542.0,46.8,75658.0,267200.0,36704.0,297.0,296.0,1321.0,187.0,12.12710765239948,72.0,4.669260700389105,6,106,63,23,,40
01073,6081.0,48.4,90318.0,322000.0,44278.0,696.0,836.0,979.0,251.0,4.127610590363427,211.0,3.469824042098339,117,168,51,170,,41
01074,228.0,35.2,-666666666.0,-666666666.0,16890.0,0.0,33.0,-666666666.0,0.0,0.0,0.0,0.0,0,0,0,0,,666668684
01075,17770.0,40.8,61821.0,227300.0,30822.0,1620.0,2454.0,927.0,1524.0,8.576252110298256,629.0,3.5396736072031514,177,428,190,221,,58
01077,9650.0,45.7,76576.0,283300.0,36861.0,983.0,1124.0,929.0,554.0,5.740932642487047,222.0,2.300518134715026,124,292,157,287,,38
01079,811.0,42.8,31778.0,177300.0,24201.0,0.0,136.0,1323.0,74.0,9.124537607891492,25.0,3.082614056720099,0,0,0,0,,79
01080,2452.0,33.5,51023.0,159600.0,23489.0,37.0,211.0,840.0,773.0,31.525285481239806,116.0,4.730831973898858,32,94,62,24,,72
01081,1823.0,43.5,51182.0,195000.0,25679.0,49.0,166.0,861.0,100.0,5.485463521667581,60.0,3.2912781130005486,20,34,0,20,,47
01082,10612.0,43.2,52178.0,185800.0,27773.0,437.0,1136.0,752.0,1434.0,13.513004146249529,487.0,4.589144364869958,131,210,60,148,,55
01083,3148.0,36.3,45954.0,200000.0,22559.0,10.0,372.0,878.0,245.0,7.78271918678526,71.0,2.255400254129606,39,39,0,32,45780.0,45
01084,154.0,61.5,68750.0,315000.0,50727.0,51.0,25.0,-666666666.0,0.0,0.0,4.0,2.5974025974025974,4,15,0,3,,79
01085,41479.0,39.0,63283.0,223700.0,29597.0,2272.0,5648.0,913.0,3679.0,8.869548446201692,1887.0,4.549290002169773,376,913,451,1041,409475.0,55
01086,690.0,19.2,-666666666.0,-666666666.0,3293.0,0.0,8.0,-666666666.0,0.0,0.0,0.0,0.0,15,15,0,8,915.0,666668684
01088,433.0,53.1,61875.0,245900.0,34560.0,30.0,80.0,980.0,33.0,7.621247113163972,8.0,1.8475750577367205,10,25,15,7,,63
01089,28575.0,39.1,50649.0,202400.0,28438.0,1641.0,3455.0,840.0,3733.0,13.063867016622922,1308.0,4.57742782152231,138,563,325,570,228545.0,62
01092,1191.0,46.8,77150.0,251800.0,40211.0,16.0,275.0,-666666666.0,176.0,14.777497900923594,42.0,3.526448362720403,0,99,72,0,,79
01093,289.0,54.1,84167.0,341800.0,48793.0,48.0,81.0,-666666666.0,16.0,5.536332179930795,0.0,0.0,4,19,9,9,,51
01094,347.0,53.7,18454.0,179900.0,29174.0,19.0,35.0,484.0,26.0,7.492795389048991,10.0,2.881844380403458,25,25,0,5,,46
01095,14569.0,47.6,95679.0,287800.0,40989.0,1526.0,2659.0,718.0,547.0,3.7545473265152034,291.0,1.9973917221497701,48,284,202,327,,54
01096,2564.0,44.3,73589.0,269800.0,33768.0,267.0,404.0,883.0,224.0,8.736349453978159,80.0,3.1201248049921997,18,49,28,47,,49
01097,78.0,19.7,31250.0,-666666666.0,9374.0,0.0,0.0,-666666666.0,42.0,53.84615384615385,0.0,0.0,0,0,0,0,,73
01098,1117.0,50.0,77083.0,266400.0,41124.0,103.0,189.0,775.0,65.0,5.819158460161146,11.0,0.9847806624888094,11,31,20,14,,52
01103,2430.0,33.3,16760.0,119000.0,21928.0,154.0,125.0,813.0,1333.0,54.8559670781893,186.0,7.654320987654321,13,55,33,16,,79
01104,23183.0,35.2,28590.0,132400.0,18983.0,549.0,1166.0,797.0,7215.0,31.121942802915928,1316.0,5.67657335116249,9,97,52,240,122350.0,69
01105,11576.0,30.6,16455.0,141000.0,13855.0,214.0,402.0,720.0,6260.0,54.077401520387006,678.0,5.856945404284727,10,62,52,41,40250.0,79
01106,15983.0,46.4,105822.0,327700.0,52705.0,2348.0,3307.0,1261.0,640.0,4.0042545204279545,411.0,2.571482199837327,121,464,230,592,,61
01107,11474.0,29.1,22956.0,161400.0,13711.0,180.0,501.0,658.0,5176.0,45.1106850270176,1083.0,9.438731044099704,41,93,38,59,,74
01108,28449.0,31.4,36890.0,152200.0,18466.0,1177.0,1553.0,918.0,8447.0,29.69172905901789,1508.0,5.300713557594292,88,247,97,244,,79
01109,30139.0,27.4,35076.0,129300.0,14977.0,555.0,1421.0,907.0,8147.0,27.03142108231859,1607.0,5.331961909817844,89,217,104,167,,72
01118,14293.0,38.6,60295.0,157300.0,27870.0,936.0,1921.0,910.0,2027.0,14.181767298677675,522.0,3.6521374099209405,131,331,170,308,,61
01119,13091.0,35.4,49083.0,149700.0,22333.0,534.0,1162.0,934.0,1952.0,14.911007562447484,767.0,5.858987090367428,2,110,89,145,,58
01128,2695.0,47.6,70078.0,168200.0,33845.0,153.0,357.0,-666666666.0,58.0,2.1521335807050095,141.0,5.231910946196661,30,78,38,86,,47
01129,7220.0,41.5,60776.0,164000.0,27405.0,486.0,784.0,1018.0,1010.0,13.988919667590027,321.0,4.445983379501385,27,172,145,141,,47
01151,9295.0,32.0,36541.0,133500.0,16820.0,205.0,563.0,891.0,2611.0,28.090371167294244,516.0,5.551371705217859,36,165,102,108,,71
01199,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,0.0,,0.0,,0,0,0,0,-666666666.0,666668684
01201,45001.0,43.4,45893.0,172400.0,28433.0,2560.0,5459.0,803.0,7152.0,15.892980155996533,2364.0,5.253216595186774,359,853,336,888,,71
01220,8266.0,45.1,48422.0,149700.0,27309.0,393.0,903.0,642.0,852.0,10.307282845390757,362.0,4.379385434309219,45,96,42,126,76725.0,79
01222,829.0,49.2,76944.0,254800.0,41175.0,52.0,156.0,790.0,45.0,5.428226779252111,12.0,1.4475271411338964,6,6,0,18,,49
01223,2247.0,52.2,72981.0,259900.0,39324.0,228.0,305.0,1115.0,129.0,5.740987983978638,91.0,4.049844236760125,27,46,10,22,,41
01224,176.0,49.9,36324.0,192300.0,23039.0,9.0,10.0,720.0,20.0,11.363636363636363,26.0,14.772727272727273,0,0,0,0,,70
01225,3192.0,49.0,58145.0,198800.0,32108.0,162.0,295.0,822.0,154.0,4.824561403508772,157.0,4.9185463659147866,49,68,19,18,,47
01226,6885.0,47.2,57202.0,187500.0,32405.0,458.0,1237.0,872.0,732.0,10.631808278867103,274.0,3.9796659404502543,76,155,79,127,,68
